ScenarioName,Year,Driver,Region,Value,StandardizedValue,Baseline,Sigma,Notes
Delayed Transition,2050,FloodRisk,Asia-Pacific (developed),-2.6791534266222277,-0.5060101849676655,-1.2824228657736088,2.760281516740362,World Bank CCKP ssp245 (2040-2059)
Current Policies,2050,FloodRisk,Asia-Pacific (developed),-1.2824228657736088,0.0,-1.2824228657736088,2.760281516740362,World Bank CCKP ssp585 (2040-2059)
Net Zero 2050,2030,FloodRisk,Asia-Pacific (emerging),0.430986383268625,1.7449343476776398,-2.6179937071479316,1.7473322675288567,World Bank CCKP ssp126 (2020-2039)
Delayed Transition,2030,FloodRisk,Asia-Pacific (emerging),-2.5724561512459165,0.02606118867501712,-2.6179937071479316,1.7473322675288567,World Bank CCKP ssp245 (2020-2039)
Current Policies,2030,FloodRisk,Asia-Pacific (emerging),-2.6179937071479316,0.0,-2.6179937071479316,1.7473322675288567,World Bank CCKP ssp585 (2020-2039)
Net Zero 2050,2050,FloodRisk,Asia-Pacific (emerging),2.5585671219177923,1.3528902898000845,-1.1154523510996501,2.715681752406065,World Bank CCKP ssp126 (2040-2059)
Delayed Transition,2050,FloodRisk,Asia-Pacific (emerging),-2.742683920413937,-0.599198182140664,-1.1154523510996501,2.715681752406065,World Bank CCKP ssp245 (2040-2059)
Current Policies,2050,FloodRisk,Asia-Pacific (emerging),-1.1154523510996501,0.0,-1.1154523510996501,2.715681752406065,World Bank CCKP ssp585 (2040-2059)
Net Zero 2050,2030,FloodRisk,Europe,0.4333205064957004,1.7497958821377886,-2.584505221443918,1.7246730082897623,World Bank CCKP ssp126 (2020-2039)
Delayed Transition,2030,FloodRisk,Europe,-2.522325526862666,0.03605303398521399,-2.584505221443918,1.7246730082897623,World Bank CCKP ssp245 (2020-2039)
Current Policies,2030,FloodRisk,Europe,-2.584505221443918,0.0,-2.584505221443918,1.7246730082897623,World Bank CCKP ssp585 (2020-2039)
Net Zero 2050,2050,FloodRisk,Europe,2.50689128974215,1.3356120681499895,-1.0892412001316767,2.6924977511284216,World Bank CCKP ssp126 (2040-2059)
Delayed Transition,2050,FloodRisk,Europe,-2.7624147561808936,-0.6214205955596407,-1.0892412001316767,2.6924977511284216,World Bank CCKP ssp245 (2040-2059)
Current Policies,2050,FloodRisk,Europe,-1.0892412001316767,0.0,-1.0892412001316767,2.6924977511284216,World Bank CCKP ssp585 (2040-2059)
Net Zero 2050,2030,FloodRisk,Global,0.42988184493712406,1.7350129218713657,-2.786509625662463,1.8538141301739834,World Bank CCKP ssp126 (2020-2039)
Delayed Transition,2030,FloodRisk,Global,-2.7754988885982645,0.005939504335941668,-2.786509625662463,1.8538141301739834,World Bank CCKP ssp245 (2020-2039)
Current Policies,2030,FloodRisk,Global,-2.786509625662463,0.0,-2.786509625662463,1.8538141301739834,World Bank CCKP ssp585 (2020-2039)
Net Zero 2050,2050,FloodRisk,Global,2.4900953679329194,1.3673809803068158,-1.2062059625810433,2.7031978532307646,World Bank CCKP ssp126 (2040-2059)
Delayed Transition,2050,FloodRisk,Global,-2.7749037365535187,-0.5803118599319781,-1.2062059625810433,2.7031978532307646,World Bank CCKP ssp245 (2040-2059)
Current Policies,2050,FloodRisk,Global,-1.2062059625810433,0.0,-1.2062059625810433,2.7031978532307646,World Bank CCKP ssp585 (2040-2059)
Net Zero 2050,2030,FloodRisk,Latin America,0.4652899523299118,1.7273735828775765,-2.67218012962746,1.8163239921330512,World Bank CCKP ssp126 (2020-2039)
Delayed Transition,2030,FloodRisk,Latin America,-2.6891025695730852,-0.009316861979977494,-2.67218012962746,1.8163239921330512,World Bank CCKP ssp245 (2020-2039)
Current Policies,2030,FloodRisk,Latin America,-2.67218012962746,0.0,-2.67218012962746,1.8163239921330512,World Bank CCKP ssp585 (2020-2039)
Net Zero 2050,2050,FloodRisk,Latin America,2.344533814365234,1.298321950851981,-1.1909089611309167,2.7230863447823035,World Bank CCKP ssp126 (2040-2059)
Delayed Transition,2050,FloodRisk,Latin America,-3.0108164573831906,-0.6683252992470813,-1.1909089611309167,2.7230863447823035,World Bank CCKP ssp245 (2040-2059)
Current Policies,2050,FloodRisk,Latin America,-1.1909089611309167,0.0,-1.1909089611309167,2.7230863447823035,World Bank CCKP ssp585 (2040-2059)
Net Zero 2050,2030,FloodRisk,Middle East & Africa,0.424727748635968,1.6643504028438845,-2.6435647388953534,1.843537564138245,World Bank CCKP ssp126 (2020-2039)
Delayed Transition,2030,FloodRisk,Middle East & Africa,-2.8800336874810584,-0.12826912409362354,-2.6435647388953534,1.843537564138245,World Bank CCKP ssp245 (2020-2039)
Current Policies,2030,FloodRisk,Middle East & Africa,-2.6435647388953534,0.0,-2.6435647388953534,1.843537564138245,World Bank CCKP ssp585 (2020-2039)
Net Zero 2050,2050,FloodRisk,Middle East & Africa,2.2838942634557253,1.3946468432428367,-1.2411450801895716,2.527549795652113,World Bank CCKP ssp126 (2040-2059)
Delayed Transition,2050,FloodRisk,Middle East & Africa,-2.616474532817885,-0.5441354528382202,-1.2411450801895716,2.527549795652113,World Bank CCKP ssp245 (2040-2059)
Current Policies,2050,FloodRisk,Middle East & Africa,-1.2411450801895716,0.0,-1.2411450801895716,2.527549795652113,World Bank CCKP ssp585 (2040-2059)
Net Zero 2050,2030,FloodRisk,North America,0.46088921856467985,1.7217023107381555,-2.9026141329016584,1.9535917042617454,World Bank CCKP ssp126 (2020-2039)
